model,weight,height,width,depth,diag
D5833,129,127.3,64.9,8.6,142.9
IM-A840S,139.8,134.8,69.8,9,151.8
IM-A850S,169,144.7,74.3,9.95,162.7
IM-A870K,154,136.3,67.6,8.8,152.1
IM-A880S,178.5,153.4,78.3,10.5,172.2
IM-A910K,153,144.2,73.5,7.9,161.9
IM-A910S,153,144.2,73.5,7.9,161.9
LG-F180K,145,131.9,68.9,8.45,148.8
LG-F180L,145,131.9,68.9,8.45,148.8
LG-F200K,159,132.2,85.6,9.4,157.5
LG-F240K,172,150.2,76.1,9.4,168.4
LG-F240S,172,150.2,76.1,9.4,168.4
LG-F320K,140,138.5,70.9,8.9,155.6
LG-F320S,140,138.5,70.9,8.9,155.6
LG-F400L,151,146.3,74.6,8.95,164.2
LG-F430L,168,152.1,79.2,9.1,171.5
LG-F460S,154,146.3,74.6,9.1,164.2
LG-F600S,192,159.6,79.3,8.6,178.2
MI 3W,145,144,73.6,8.1,161.7
Nexus 5,130,137.84,69.17,8.59,154.2
SHV-E120K,140,132.65,68.8,9.5,149.4
SHV-E210K,138.5,136.6,70.6,9.4,153.8
SHV-E210S,138.5,136.6,70.6,9.4,153.8
SHV-E250K,183,151.1,80.5,9.4,171.2
SHV-E250L,183,151.1,80.5,9.4,171.2
SHV-E250S,183,151.1,80.5,9.4,171.2
SHV-E300K,130,136.6,69.8,7.9,153.4
SHV-E300S,130,136.6,69.8,7.9,153.4
SHV-E330K,131,136.6,69.8,7.9,153.4
SHV-E330S,131,136.6,69.8,7.9,153.4
SHV-E500S,152,133.3,70.7,9.65,150.9
SHW-M250S,116,125.3,66.1,8.49,141.7
SM-G850L,115,132.4,65.5,6.7,147.7
SM-G900K,145,142,72.5,8.1,159.4
SM-G900S,145,142,72.5,8.1,159.4
SM-G906K,145,142,72.5,8.1,159.4
SM-G906S,145,142,72.5,8.1,159.4
SM-G920L,138,143.4,70.5,6.8,159.8
SM-G920S,138,143.4,70.5,6.8,159.8
SM-N900K,172,151.2,79.2,8.3,170.7
SM-N900L,172,151.2,79.2,8.3,170.7
SM-N900S,172,151.2,79.2,8.3,170.7
SM-N910K,176,153.5,78.6,8.5,172.5
XT1033,143,129.9,65.9,11.6,145.7